selection,reason,source_id,docid,ky_hieu,loai,co_quan,ngay_ban_hanh,ngay_hieu_luc,trich_yeu,url_vb,pdf_local,chars,status,notes,file_state,match_count,text_chars,mojibake_markers,matched_files,audit_reason
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",boluat91_2015,,91/2015/QH13,Bộ luật,Quốc hội,,,Bộ luật Dân sự,,,368136,active_verified,Bach-Xuan/Bộ luật Dân sự 91_2015_QH13.txt,TEXT_PRESENT,2,368136,0,Bach-Xuan\Bộ luật Dân sự 91_2015_QH13.txt | data\sources_real\boluat91_2015.md,Có file text/markdown để ingest
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",boluat92_2015,,92/2015/QH13,Bộ luật,Quốc hội,,2016-07-01,Bộ luật Tố tụng dân sự 99_VBHN-VPQH,,,529976,active_verified,Bach-Xuan/Bộ luật Tố tụng dân sự 99_VBHN-VPQH.txt,TEXT_PRESENT,2,529976,0,Bach-Xuan\Bộ luật Tố tụng dân sự 99_VBHN-VPQH.txt | data\sources_real\boluat92_2015.md,Có file text/markdown để ingest
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",luat02_2011,,02/2011/QH13,Luật,Quốc hội,,2012-07-01,Luật Khiếu nại 28_VBHN-VPQH,,,74098,active_verified,Bach-Xuan/Luật Khiếu nại 28_VBHN-VPQH.txt,TEXT_PRESENT,2,74098,0,Bach-Xuan\Luật Khiếu nại 28_VBHN-VPQH.txt | data\sources_real\luat02_2011.md,Có file text/markdown để ingest
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",luat11_2017,,11/2017/QH14,Luật,Quốc hội,,2018-01-01,Luật Trợ giúp pháp lý 106_VBHN-VPQH,,,54762,active_verified,Bach-Xuan/Luật Trợ giúp pháp lý 106_VBHN-VPQH.txt,TEXT_PRESENT,2,54762,0,Bach-Xuan\Luật Trợ giúp pháp lý 106_VBHN-VPQH.txt | data\sources_real\luat11_2017.md,Có file text/markdown để ingest
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",luat136_2025,216516,136/2025/QH15,Luật,Quốc hội,2025-12-10,2026-07-01,"Luật sửa đổi, bổ sung một số điều của Luật Tiếp công dân, Luật Khiếu nại, Luật Tố cáo",https://congbao.chinhphu.vn/van-ban/luat-so-136-2025-qh15-468696.htm,,24166,active_verified,congbao.chinhphu.vn,TEXT_PRESENT,3,24167,0,data\sources_real\luat136_2025.md | data\private_cache\congbao2\luat136_2025_000.docx | data\private_cache\vbpq\luat136_2025.pdf,Có file text/markdown để ingest
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",luat15_2012,,15/2012/QH13,Luật,Quốc hội,,2013-07-01,Luật Xử lý vi phạm hành chính 90_VBHN-VPQH,,,248104,active_verified,Bach-Xuan/Luật Xử lý vi phạm hành chính 90_VBHN-VPQH.txt,TEXT_PRESENT,2,248104,0,Bach-Xuan\Luật Xử lý vi phạm hành chính 90_VBHN-VPQH.txt | data\sources_real\luat15_2012.md,Có file text/markdown để ingest
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",luat19_2023,,19/2023/QH15,Luật,Quốc hội,,2024-07-01,Luật Bảo vệ quyền lợi người tiêu dùng 47_VBHN-VPQH,,,106439,active_verified,Bach-Xuan/Luật Bảo vệ quyền lợi người tiêu dùng 47_VBHN-VPQH.txt,TEXT_PRESENT,2,106439,0,Bach-Xuan\Luật Bảo vệ quyền lợi người tiêu dùng 47_VBHN-VPQH.txt | data\sources_real\luat19_2023.md,Có file text/markdown để ingest
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",luat24_2008,,24/2008/QH12,Luật,Quốc hội,,2014-06-26,Luật Quốc tịch Việt Nam 53_VBHN-VPQH,,,50742,active_verified,Bach-Xuan/Luật Quốc tịch Việt Nam 53_VBHN-VPQH.txt,TEXT_PRESENT,2,50742,0,Bach-Xuan\Luật Quốc tịch Việt Nam 53_VBHN-VPQH.txt | data\sources_real\luat24_2008.md,Có file text/markdown để ingest
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",luat25_2008,,25/2008/QH12,Luật,Quốc hội,,2009-07-01,Luật Bảo hiểm Y tế 40_VBHN-VPQH,,,117362,active_verified,Bach-Xuan/Luật Bảo hiểm Y tế 40_VBHN-VPQH.txt,TEXT_PRESENT,2,117362,0,Bach-Xuan\Luật Bảo hiểm Y tế 40_VBHN-VPQH.txt | data\sources_real\luat25_2008.md,Có file text/markdown để ingest
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",luat25_2018,,25/2018/QH14,Luật,Quốc hội,,2019-01-01,Luật Tố cáo 29_VBHN-VPQH,,,80245,active_verified,Bach-Xuan/Luật Tố cáo 29_VBHN-VPQH.txt,TEXT_PRESENT,2,80245,0,Bach-Xuan\Luật Tố cáo 29_VBHN-VPQH.txt | data\sources_real\luat25_2018.md,Có file text/markdown để ingest
